date,open,high,low,close,SMA_20
2023-08-08,241.0,249.0,233.5,240.0,222.475
2023-08-09,227.0,243.5,226.0,233.5,225.5
2023-08-10,220.5,225.0,210.5,210.5,226.65
2023-08-11,216.0,228.0,214.0,223.5,228.075
2023-08-14,228.0,242.5,223.5,239.0,230.125
2023-08-15,250.0,255.5,246.0,246.5,232.65
2023-08-16,245.0,270.0,244.0,270.0,236.075
2023-08-17,264.0,280.5,263.0,272.5,239.8
2023-08-18,271.0,275.0,247.0,256.0,242.05
2023-08-21,261.5,263.5,250.5,250.5,243.275
2023-08-22,261.0,267.0,256.5,258.5,243.775
2023-08-23,260.0,262.0,253.0,262.0,244.45
2023-08-24,282.0,282.0,257.5,262.5,244.65
2023-08-25,249.5,253.0,241.0,244.0,244.225
2023-08-28,245.0,245.5,229.5,238.0,242.9
2023-08-29,242.0,247.0,240.0,244.5,243.2
2023-08-30,252.0,254.0,248.0,248.5,243.775
2023-08-31,246.0,253.5,240.0,253.5,245.775
2023-09-01,255.0,255.0,240.5,240.5,246.8
2023-09-04,240.5,246.0,238.0,246.0,247.0
2023-09-05,243.0,246.0,241.0,245.0,247.25
2023-09-06,246.0,254.0,246.0,254.0,248.275
2023-09-07,250.0,253.0,248.5,252.0,250.35
2023-09-08,249.0,252.5,241.5,242.0,251.275
2023-09-11,241.0,242.5,219.0,228.0,250.725
2023-09-12,228.0,228.0,221.5,224.0,249.6
2023-09-13,225.0,229.0,221.5,228.5,247.525
2023-09-14,232.0,237.0,230.5,235.0,245.65
2023-09-15,236.0,237.5,232.0,233.0,244.5
2023-09-18,227.0,227.5,220.5,222.5,243.1
2023-09-19,224.0,227.0,217.0,219.0,241.125
2023-09-20,217.0,229.5,215.0,218.5,238.95
2023-09-21,213.5,222.0,211.0,219.0,236.775
2023-09-22,216.5,227.5,214.5,227.5,235.95
2023-09-25,227.5,228.0,222.5,226.0,235.35
2023-09-26,227.0,231.5,221.5,221.5,234.2
2023-09-27,223.0,230.0,221.5,230.0,233.275
2023-09-28,235.0,244.0,235.0,239.5,232.575
2023-10-02,245.0,259.0,244.5,254.5,233.275
2023-10-03,257.0,257.5,248.0,248.5,233.4
2023-10-04,240.0,251.5,239.5,250.5,233.675
2023-10-05,252.0,252.5,248.0,249.5,233.45
2023-10-06,252.0,258.0,251.0,254.5,233.575
2023-10-11,262.0,262.0,238.0,238.0,233.375
2023-10-12,235.0,244.0,234.5,238.0,233.875
2023-10-13,238.0,240.0,222.0,226.0,233.975
2023-10-16,221.5,227.0,221.0,221.5,233.625
2023-10-17,224.5,226.5,218.0,221.5,232.95
2023-10-18,217.0,218.0,208.0,209.5,231.775
2023-10-19,207.0,211.0,203.5,208.5,231.075
2023-10-20,206.0,207.5,199.0,204.5,230.35
2023-10-23,201.5,207.5,200.0,200.5,229.45
2023-10-24,204.0,209.0,200.5,209.0,228.95
