date,open,high,low,close,SMA_20
2023-08-08,705.0,705.0,690.0,690.0,685.2
2023-08-09,689.0,702.0,686.0,701.0,685.95
2023-08-10,702.0,703.0,688.0,693.0,686.35
2023-08-11,688.0,689.0,675.0,679.0,686.3
2023-08-14,672.0,673.0,666.0,672.0,685.3
2023-08-15,682.0,684.0,676.0,678.0,685.05
2023-08-16,698.0,698.0,683.0,689.0,685.35
2023-08-17,680.0,681.0,673.0,674.0,684.25
2023-08-18,670.0,679.0,669.0,674.0,683.35
2023-08-21,678.0,679.0,667.0,669.0,682.7
2023-08-22,675.0,682.0,668.0,672.0,682.55
2023-08-23,672.0,676.0,670.0,671.0,682.85
2023-08-24,682.0,692.0,680.0,691.0,684.65
2023-08-25,692.0,695.0,687.0,694.0,686.45
2023-08-28,700.0,709.0,698.0,701.0,688.6
2023-08-29,714.0,716.0,702.0,710.0,689.6
2023-08-30,714.0,715.0,702.0,709.0,689.4
2023-08-31,705.0,714.0,704.0,705.0,689.2
2023-09-01,707.0,712.0,701.0,710.0,689.4
2023-09-04,713.0,713.0,705.0,711.0,689.65
2023-09-05,712.0,718.0,711.0,718.0,691.05
2023-09-06,721.0,722.0,712.0,712.0,691.6
2023-09-07,709.0,718.0,708.0,717.0,692.8
2023-09-08,705.0,710.0,701.0,709.0,694.3
2023-09-11,715.0,715.0,708.0,714.0,696.4
2023-09-12,710.0,729.0,709.0,728.0,698.9
2023-09-13,739.0,744.0,729.0,732.0,701.05
2023-09-14,735.0,735.0,725.0,733.0,704.0
2023-09-15,741.0,763.0,737.0,763.0,708.45
2023-09-18,751.0,792.0,750.0,782.0,714.1
2023-09-19,782.0,782.0,764.0,773.0,719.15
2023-09-20,765.0,766.0,751.0,759.0,723.55
2023-09-21,752.0,762.0,744.0,746.0,726.3
2023-09-22,735.0,748.0,728.0,746.0,728.9
2023-09-25,741.0,762.0,741.0,755.0,731.6
2023-09-26,748.0,755.0,736.0,737.0,732.95
2023-09-27,728.0,737.0,728.0,737.0,734.35
2023-09-28,739.0,741.0,730.0,735.0,735.85
2023-10-02,747.0,748.0,740.0,745.0,737.6
2023-10-03,767.0,784.0,766.0,772.0,740.65
2023-10-04,771.0,783.0,764.0,780.0,743.75
2023-10-05,783.0,786.0,776.0,786.0,747.45
2023-10-06,790.0,790.0,781.0,786.0,750.9
2023-10-11,790.0,816.0,790.0,814.0,756.15
2023-10-12,817.0,819.0,805.0,815.0,761.2
2023-10-13,820.0,842.0,818.0,842.0,766.9
2023-10-16,838.0,849.0,832.0,840.0,772.3
2023-10-17,845.0,854.0,820.0,825.0,776.9
2023-10-18,800.0,822.0,800.0,813.0,779.4
2023-10-19,811.0,838.0,811.0,830.0,781.8
2023-10-20,831.0,837.0,812.0,828.0,784.55
2023-10-23,825.0,829.0,816.0,821.0,787.65
2023-10-24,821.0,823.0,804.0,816.0,791.15
2023-10-25,818.0,832.0,816.0,822.0,794.95
2023-10-26,815.0,817.0,811.0,817.0,798.05
2023-10-27,824.0,824.0,800.0,801.0,801.25
2023-10-30,819.0,864.0,818.0,857.0,807.25
2023-10-31,860.0,861.0,834.0,842.0,812.6
2023-11-01,854.0,856.0,832.0,846.0,817.65
2023-11-02,863.0,877.0,855.0,868.0,822.45
2023-11-03,872.0,876.0,864.0,870.0,826.95
2023-11-06,879.0,890.0,873.0,882.0,831.75
2023-11-07,890.0,899.0,879.0,888.0,836.85
2023-11-08,898.0,916.0,895.0,914.0,841.85
2023-11-09,913.0,913.0,899.0,905.0,846.35
2023-11-10,900.0,904.0,884.0,884.0,848.45
2023-11-13,909.0,925.0,905.0,906.0,851.75
2023-11-14,916.0,917.0,902.0,905.0,855.75
2023-11-15,925.0,925.0,900.0,908.0,860.5
2023-11-16,914.0,914.0,891.0,893.0,863.65
2023-11-17,896.0,905.0,893.0,904.0,867.45
2023-11-20,920.0,924.0,904.0,912.0,872.0
2023-11-21,922.0,934.0,915.0,926.0,877.5
2023-11-22,928.0,942.0,925.0,942.0,883.5
2023-11-23,951.0,951.0,929.0,930.0,889.15
2023-11-24,935.0,950.0,932.0,945.0,896.35
2023-11-27,946.0,951.0,931.0,931.0,900.05
2023-11-28,929.0,942.0,925.0,942.0,905.05
2023-11-29,941.0,949.0,936.0,948.0,910.15
2023-11-30,949.0,953.0,939.0,945.0,914.0
2023-12-01,942.0,947.0,938.0,947.0,917.85
2023-12-04,945.0,946.0,930.0,933.0,920.4
2023-12-05,925.0,933.0,921.0,929.0,922.45
2023-12-06,925.0,933.0,925.0,927.0,923.1
2023-12-07,933.0,943.0,927.0,931.0,924.4
2023-12-08,941.0,946.0,937.0,943.0,927.35
2023-12-11,942.0,944.0,932.0,941.0,929.1
2023-12-12,950.0,950.0,935.0,939.0,930.8
2023-12-13,944.0,955.0,939.0,955.0,933.15
2023-12-14,961.0,969.0,953.0,966.0,936.8
2023-12-15,975.0,998.0,971.0,996.0,941.4
2023-12-18,995.0,997.0,981.0,989.0,945.25
2023-12-19,977.0,994.0,977.0,992.0,948.55
2023-12-20,993.0,995.0,983.0,983.0,950.6
2023-12-21,972.0,983.0,972.0,976.0,952.9
2023-12-22,980.0,990.0,979.0,990.0,955.15
2023-12-25,991.0,998.0,987.0,995.0,958.35
2023-12-26,999.0,1005.0,995.0,1000.0,961.25
2023-12-27,1010.0,1050.0,1010.0,1040.0,965.85
2023-12-28,1045.0,1055.0,1025.0,1025.0,969.85
2023-12-29,1025.0,1030.0,1010.0,1015.0,973.25
2024-01-02,1010.0,1015.0,980.0,981.0,975.65
2024-01-03,976.0,977.0,953.0,953.0,976.85
2024-01-04,940.0,947.0,922.0,928.0,976.9
2024-01-05,929.0,935.0,921.0,921.0,976.4
2024-01-08,930.0,936.0,918.0,920.0,975.25
2024-01-09,938.0,940.0,926.0,928.0,974.6
2024-01-10,935.0,935.0,922.0,924.0,973.85
2024-01-11,932.0,937.0,920.0,920.0,972.1
2024-01-12,920.0,929.0,916.0,926.0,970.1
2024-01-15,935.0,935.0,919.0,922.0,966.4
2024-01-16,915.0,917.0,895.0,895.0,961.7
2024-01-17,890.0,903.0,879.0,879.0,956.05
2024-01-18,884.0,897.0,884.0,897.0,951.75
2024-01-19,920.0,920.0,907.0,920.0,948.95
2024-01-22,928.0,943.0,920.0,922.0,945.55
2024-01-23,918.0,922.0,909.0,911.0,941.35
2024-01-24,916.0,936.0,915.0,936.0,938.15
2024-01-25,939.0,950.0,933.0,943.0,933.3
2024-01-26,936.0,939.0,928.0,936.0,928.85
2024-01-29,945.0,945.0,926.0,938.0,925.0
2024-01-30,938.0,973.0,938.0,963.0,924.1
2024-01-31,976.0,977.0,958.0,966.0,924.75
2024-02-01,951.0,951.0,922.0,930.0,924.85
2024-02-02,931.0,936.0,926.0,936.0,925.6
2024-02-05,929.0,940.0,928.0,937.0,926.45
2024-02-15,983.0,983.0,951.0,972.0,928.65
2024-02-16,976.0,977.0,963.0,970.0,930.95
2024-02-19,973.0,973.0,951.0,963.0,933.1
2024-02-20,960.0,985.0,960.0,982.0,935.9
2024-02-21,972.0,986.0,972.0,981.0,938.85
2024-02-22,988.0,1020.0,988.0,1015.0,944.85
2024-02-23,1035.0,1100.0,1010.0,1100.0,955.9
2024-02-26,1090.0,1120.0,1060.0,1115.0,966.8
2024-02-27,1125.0,1160.0,1105.0,1115.0,976.55
2024-02-29,1115.0,1145.0,1110.0,1140.0,987.45
2024-03-01,1165.0,1165.0,1095.0,1105.0,997.15
2024-03-04,1115.0,1155.0,1105.0,1150.0,1007.85
2024-03-05,1150.0,1160.0,1130.0,1155.0,1018.45
2024-03-06,1145.0,1200.0,1140.0,1190.0,1031.15
2024-03-07,1220.0,1260.0,1215.0,1230.0,1045.75
2024-03-08,1260.0,1275.0,1195.0,1230.0,1059.1
2024-03-11,1235.0,1245.0,1205.0,1225.0,1072.05
2024-03-12,1200.0,1225.0,1190.0,1215.0,1086.3
2024-03-13,1245.0,1260.0,1210.0,1215.0,1100.25
2024-03-14,1220.0,1230.0,1140.0,1150.0,1110.9
2024-03-15,1135.0,1150.0,1120.0,1135.0,1119.05
2024-03-18,1135.0,1180.0,1135.0,1170.0,1129.05
2024-03-19,1150.0,1165.0,1135.0,1150.0,1138.4
2024-03-20,1145.0,1175.0,1120.0,1130.0,1145.8
2024-03-21,1160.0,1160.0,1125.0,1140.0,1153.75
2024-03-22,1140.0,1145.0,1110.0,1125.0,1159.25
2024-03-25,1120.0,1140.0,1115.0,1120.0,1160.25
2024-03-26,1140.0,1170.0,1120.0,1130.0,1161.0
2024-03-27,1135.0,1175.0,1125.0,1165.0,1163.5
2024-03-28,1160.0,1180.0,1135.0,1160.0,1164.5
2024-03-29,1160.0,1200.0,1160.0,1195.0,1169.0
2024-04-01,1190.0,1200.0,1155.0,1160.0,1169.5
2024-04-02,1170.0,1185.0,1160.0,1165.0,1170.0
2024-04-03,1150.0,1175.0,1140.0,1160.0,1168.5
2024-04-08,1175.0,1180.0,1145.0,1150.0,1164.5
2024-04-09,1160.0,1175.0,1150.0,1160.0,1161.0
2024-04-10,1170.0,1215.0,1165.0,1195.0,1159.5
2024-04-11,1205.0,1230.0,1185.0,1200.0,1158.75
2024-04-12,1190.0,1200.0,1165.0,1180.0,1157.0
2024-04-15,1160.0,1160.0,1110.0,1110.0,1155.0
2024-04-16,1065.0,1090.0,1055.0,1055.0,1151.0
2024-04-17,1065.0,1075.0,1045.0,1050.0,1145.0
2024-04-18,1045.0,1060.0,1020.0,1050.0,1140.0
2024-04-19,1020.0,1030.0,970.0,993.0,1133.15
2024-04-22,984.0,989.0,966.0,966.0,1124.45
2024-04-23,989.0,989.0,970.0,972.0,1116.8
2024-04-24,995.0,1020.0,994.0,1010.0,1111.3
2024-04-25,996.0,1005.0,976.0,981.0,1103.85
2024-04-26,991.0,1005.0,987.0,1005.0,1095.85
2024-04-29,1055.0,1055.0,1005.0,1015.0,1088.6
2024-04-30,1015.0,1030.0,992.0,992.0,1078.45
2024-05-02,990.0,1020.0,982.0,1000.0,1070.45
2024-05-03,1040.0,1050.0,1030.0,1040.0,1064.2
2024-05-06,1060.0,1060.0,1035.0,1035.0,1057.95
2024-05-07,1050.0,1055.0,1035.0,1045.0,1052.7
2024-05-08,1080.0,1100.0,1060.0,1095.0,1049.45
2024-05-09,1100.0,1125.0,1090.0,1095.0,1044.45
2024-05-10,1105.0,1105.0,1080.0,1095.0,1039.2
2024-05-13,1115.0,1120.0,1100.0,1115.0,1035.95
2024-05-14,1115.0,1160.0,1110.0,1155.0,1038.2
2024-05-15,1170.0,1175.0,1145.0,1155.0,1043.2
2024-05-16,1180.0,1210.0,1175.0,1190.0,1050.2
2024-05-17,1180.0,1185.0,1165.0,1165.0,1055.95
2024-05-20,1165.0,1195.0,1165.0,1190.0,1065.8
2024-05-21,1180.0,1190.0,1165.0,1175.0,1076.25
2024-05-22,1190.0,1190.0,1160.0,1185.0,1086.9
2024-05-23,1195.0,1210.0,1185.0,1205.0,1096.65
2024-05-24,1190.0,1205.0,1190.0,1195.0,1107.35
2024-05-27,1250.0,1310.0,1235.0,1285.0,1121.35
2024-05-28,1300.0,1320.0,1285.0,1310.0,1136.1
2024-05-29,1310.0,1315.0,1275.0,1290.0,1151.0
2024-05-30,1255.0,1300.0,1250.0,1290.0,1165.5
2024-05-31,1315.0,1315.0,1225.0,1235.0,1175.25
2024-06-03,1265.0,1270.0,1240.0,1270.0,1187.0
2024-06-04,1260.0,1270.0,1220.0,1240.0,1196.75
2024-06-05,1240.0,1245.0,1220.0,1230.0,1203.5
2024-06-06,1255.0,1300.0,1235.0,1290.0,1213.25
2024-06-07,1290.0,1290.0,1270.0,1275.0,1222.25
2024-06-11,1270.0,1280.0,1250.0,1270.0,1230.0
2024-06-12,1270.0,1310.0,1265.0,1300.0,1237.25
2024-06-13,1340.0,1400.0,1325.0,1385.0,1248.75
2024-06-14,1395.0,1395.0,1365.0,1395.0,1259.0
2024-06-17,1375.0,1390.0,1365.0,1380.0,1269.75
2024-06-18,1375.0,1405.0,1375.0,1405.0,1280.5
2024-06-19,1425.0,1485.0,1420.0,1485.0,1296.0
2024-06-20,1485.0,1500.0,1460.0,1500.0,1311.75
2024-06-21,1470.0,1495.0,1445.0,1490.0,1326.0
2024-06-24,1455.0,1465.0,1405.0,1410.0,1336.75
2024-06-25,1370.0,1400.0,1365.0,1385.0,1341.75
2024-06-26,1395.0,1430.0,1395.0,1405.0,1346.5
2024-06-27,1380.0,1410.0,1380.0,1395.0,1351.75
2024-06-28,1400.0,1405.0,1375.0,1400.0,1357.25
2024-07-01,1405.0,1440.0,1405.0,1415.0,1366.25
2024-07-02,1410.0,1415.0,1390.0,1410.0,1373.25
2024-07-03,1430.0,1430.0,1390.0,1405.0,1381.5
2024-07-04,1380.0,1400.0,1375.0,1375.0,1388.75
2024-07-05,1380.0,1385.0,1335.0,1350.0,1391.75
2024-07-08,1340.0,1420.0,1335.0,1420.0,1399.0
2024-07-09,1450.0,1460.0,1415.0,1460.0,1408.5
2024-07-10,1455.0,1460.0,1410.0,1435.0,1415.25
2024-07-11,1435.0,1460.0,1415.0,1420.0,1417.0
2024-07-12,1365.0,1385.0,1350.0,1360.0,1415.25
2024-07-15,1370.0,1380.0,1350.0,1355.0,1414.0
2024-07-16,1355.0,1365.0,1325.0,1345.0,1411.0
2024-07-17,1335.0,1345.0,1305.0,1325.0,1403.0
2024-07-18,1270.0,1290.0,1250.0,1280.0,1392.0
